,Type of Txn,Object,Buyer User Login,Region,Customer Name(opt),Deal ID(opt),M-Vendor,Manf Prod Number,Customer Hyphenation,HP Prod Number,Product Classification,Tax Classification Code,Short Desc,Long Desc,500 Char Desc,Product Line,UNSPSC Code,Phweb M-Level,GA Update(Y/N),EAN Category,EAN-UPC,Unit Of Measure,SWOP Update(Y/N),Weight Unit,Net weight,Gross weight,Dimension unit,Box length,Box width,Box height,Local currency Name,Average HP Purchasing price,Supplier list price,IATA code,EPEAT status level,EPEAT status date (MM/DD/YYYY),TAA,Screen size,HP supplier codes (max = 10) 4 digits,delivering plants (max = 10) 4 digits,One reference material (combination),Buyer purch group,serial Profile,HP Procurement vendor,Supplier Prod Number,Primary Supplier(Y/N),Purchasing plant Plants(PIR),Country Of Origin,Currency name,HP Purchasing Price from Supplier,PIR Purchasing Group,Manufacturer,MFgPartNum,MFgPartNum1,MFgPartNum2,MFgPartNum3,MFgPartNum4,MFgPartNum5,MFgPartNum6,MFgPartNum7,MFgPartNum8,MFgPartNum9,MFgPartNum10
0,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000031.0,,Y,"US21,US51",,USD,,C16,,VS048,None,None,None,None,None,None,None,None,None,None
1,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000031.0,,Y,"US21,US51",,USD,,C16,,6521245,None,None,None,None,None,None,None,None,None,None
2,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000031.0,,Y,"US21,US51",,USD,,C16,,62545471,None,None,None,None,None,None,None,None,None,None
3,No Tangible value,No Tangible value,,No Tangible value,,,,,,,No Tangible value,No Tangible value,,,,8W,,,No Tangible value,,,No Tangible value,N,No Tangible value,,,No Tangible value,,,,No Tangible value,,,,,,,,No Tangible value,No Tangible value,,No Tangible value,,100000031.0,,No Tangible value,No Tangible value,,No Tangible value,,No Tangible value,,None,None,None,None,None,None,None,None,None,None,None
4,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000114.0,,Y,"US21,US51",,USD,,C16,, ENPCSB2100BLWS,None,None,None,None,None,None,None,None,None,None
5,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000114.0,,Y,"US21,US51",,USD,,C16,,VA2456-MHD-AFK,VA2446MH-LED-AFK,None,None,None,None,None,None,None,None,None
6,Create,Product ,,North America,,,,,,,ES,C074,,,,8W,,,Y,,,,N,,,,,,,,USD,,,,,,,,1R00,US51,,C16,,100000114.0,,Y,US51,,USD,,C16,,TA1-NCESS-R,None,None,None,None,None,None,None,None,None,None
7,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000070.0,,Y,"US21,US51",,USD,,C16,,CA-2880,None,None,None,None,None,None,None,None,None,None
8,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000070.0,,Y,"US21,US51",,USD,,C16,,CA-2016WB,None,None,None,None,None,None,None,None,None,None
9,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000070.0,,Y,"US21,US51",,USD,,C16,,504409,504558,508329,None,None,None,None,None,None,None,None
10,No Tangible value,No Tangible value,,No Tangible value,,,,,,,No Tangible value,No Tangible value,,,,8W,,,No Tangible value,,,No Tangible value,N,No Tangible value,,,No Tangible value,,,,No Tangible value,,,,,,,,No Tangible value,No Tangible value,,No Tangible value,,100000070.0,,No Tangible value,No Tangible value,,No Tangible value,,No Tangible value,,None,None,None,None,None,None,None,None,None,None,None
11,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000070.0,,Y,"US21,US51",,USD,,C16,,92355-11,89434-01,None,None,None,None,None,None,None,None,None
12,Create,Product ,,North America,,,,,,,HW,A005,,,,FD,,,Y,,,EA,Y,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000070.0,,Y,"US21,US51",,USD,,C16,,MQ6K2LL/A,MQ8D2LL/A,None,None,None,None,None,None,None,None,None
13,Create,Product ,,North America,,,,,,,HW,A005,,,,8W,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000202.0,,Y,"US21,US51",,USD,,C16,,54322-Army,None,None,None,None,None,None,None,None,None,None
14,Create,Product ,,North America,,,,,,,HW,A005,,,,UT,,,Y,,,EA,N,KG,,,MM,,,,USD,,,,,,,,1R00,"US62,US21,US51",,C16,,100000223.0,,Y,"US21,US51",,USD,,C16,,JB320-1-BL1820-P-K9-CITITR,PK-15-VTAP-BX-CITITR,PK-8K-A9-CITITR,None,None,None,None,None,None,None,None
